"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6465","Testing JS Allert","chromium","Sat Nov 02 16:42:47 PDT 2024","passed","Sat Nov 02 16:42:53 PDT 2024","Testing 3 type of dialogs, JS Alert, JS Confirm and JS Prompt","dialog.spec.js","",""
"","7962","Testing internal IFrame","chromium","Sat Nov 02 16:42:47 PDT 2024","passed","Sat Nov 02 16:42:55 PDT 2024","Testing IFrames","iFrames.spec.js","",""
"","9039","Happy path, testing successful login","chromium","Sat Nov 02 16:42:54 PDT 2024","passed","Sat Nov 02 16:43:03 PDT 2024","testing login feature","login.spec.js","",""
"","8676","Sad path, testing login wrong username: 
            ""practice"" and password: ""wrongPassword ""","chromium","Sat Nov 02 16:42:54 PDT 2024","passed","Sat Nov 02 16:43:03 PDT 2024","testing login feature","login.spec.js","",""
"","8425","Sad path, testing login wrong username: 
            ""empty"" and password: ""SuperSecretPassword! ""","chromium","Sat Nov 02 16:42:54 PDT 2024","passed","Sat Nov 02 16:43:02 PDT 2024","testing login feature","login.spec.js","",""
"","7426","Sad path, testing login wrong username: 
            ""wrongUsername"" and password: ""SuperSecretPassword! ""","chromium","Sat Nov 02 16:42:54 PDT 2024","passed","Sat Nov 02 16:43:01 PDT 2024","testing login feature","login.spec.js","",""
"","6465","Testing external IFrame","chromium","Sat Nov 02 16:42:47 PDT 2024","passed","Sat Nov 02 16:42:53 PDT 2024","Testing IFrames","iFrames.spec.js","",""
"","6837","Testing JS Prompt","chromium","Sat Nov 02 16:42:47 PDT 2024","passed","Sat Nov 02 16:42:54 PDT 2024","Testing 3 type of dialogs, JS Alert, JS Confirm and JS Prompt","dialog.spec.js","",""
"","8155","Sad path, testing login wrong username: 
            ""practice"" and password: ""empty ""","chromium","Sat Nov 02 16:42:55 PDT 2024","passed","Sat Nov 02 16:43:03 PDT 2024","testing login feature","login.spec.js","",""
"","6837","Testing JS Confirm","chromium","Sat Nov 02 16:42:47 PDT 2024","passed","Sat Nov 02 16:42:54 PDT 2024","Testing 3 type of dialogs, JS Alert, JS Confirm and JS Prompt","dialog.spec.js","",""
